Timestamp,What kind of transit stop are you at?,What type of station are you auditing?,What station are you auditing?,Is there an elevator at the station?,"If there is an elevator, is it in service today?","If the elevator is in service, ride it. Describe your experience.","Is there a ramp that allows mobility device users and transit riders with strollers, grocery carts or wheeled vehicles to access the station?",Are there accessible announcements available at the station (ex/ a real time arrival display with an audio option?),How could this station be more accessible?,Bus stop ID: ,Bus route(s) served by stop ,Bus stop location/intersection: ,"Is there a designated stopping area for the bus that provides free access to the vehicle's front and rear doors? The stop area should be free from obstructions (light poles, trees, driveway entrances). ","If applicable, please add a photo of the obstruction ","Is there a loading/landing pad? The landing pad is where bus drivers deploy the ramp for wheelchair users, and should have a 5' diameter circle, enough for a wheelchair to fully turn around.",Are there accessible announcements available at the stop (ex/ a real time arrival display with an audio option?),Is the stop well connected to/accessible by sidewalks? Does entering/exiting the stop force you to pass through grass or other obstacles? ,"Is the sidewalk around the bus stop flat and even, easily traversable for wheelchair users?","Is there a curb cut (a solid, sloped ramp graded down from the top edge of a sidewalk to meet the adjoining street) on the adjacent intersection? ",Does the stop have a shelter?,"If yes, is the shelter wheelchair accessible? (The bench does not take up the entire length of the shelter, and there is enough room for a wheelchair to fit between the bench and the edge of the shelter)",Does the stop have a place to sit?,"Is there damage to the stop, such as shattered glass? ","If applicable, please add a photo of the damage:",Is there a trash can nearby?,If Yes - has the trash can been well maintained?,If applicable - share an identifying number on the trash can ,Is there a street light nearby?,If applicable - share an identifying number on the street light,Is the stop clearly marked? Is there damage to the sign that makes it difficult to read? ,"If applicable, please add a photo of the damaged or missing sign",What would you add to this bus stop? ,Is there anything else you'd like to note?
5/29/2026 12:06:20,,,,,,,,,,31367,3,Berks and front ,"Yes, but it is obstructed or missing another characteristic (please explain below)",,No,,"There is a sidewalk, Over 20 ft away there is a curb cut ",,,No,No,No,No,,No,,,No,,"Sign is obscured, faded ",,"Curb cut closer the stop, newer stop sign, shelter, bench, paint ",
6/2/2026 9:41:30,,,,,,,,,,14079,"9, 12, 21, 42",15th and Walnut,Yes,,Yes,,Yes,,,Yes,Yes,Yes,Yes,,Yes,,,Yes,,Yes,,Arrival times,
6/2/2026 9:58:25,,,,,,,,,,15190,"4, 27, 32, BSL",Lombard and Broad ,Yes,,There is space for wheelchair but no landing pad that slopes down,,Yes,,,Yes,Yes,Yes,No,,Yes,,,Yes,,Sign has graffiti,,,
6/2/2026 10:10:49,,,,,,,,,,22268,40,lombard and 13th ,No,,low curb but small space for landing and unsmooth surface ,,accessible but uneven sidewalks which could be a hinderance to ,,,No,yes but could be better given other notes ,No,Yes,,No,,,No,,clear but sign is small ,,i would add a bench + even out sidewalk for accessibility + add a source of light,
6/6/2026 8:38:48,A bus or above ground trolley stop,,,,,,,,,19007,"3, 39, 89",Kensington-Tioga,"Yes, there is a marked stopping area that is free from obstructions",,No,No,The stop is connected to/integrated into the sidewalk.,"Yes, the sidewalk is flat and even.",Yes,No,No,No,No,,Yes,3,na,Yes,na,"The stop is not clearly marked (the sign is difficult to find, obscured, or nonexistent)",https://drive.google.com/open?id=1293VxpceSn7SnwYxRA8mZjd71vPwQEZb,"Remove Graffiti, add shelter and or bench.",Sidewalk in good shape.
6/6/2026 8:49:14,A bus or above ground trolley stop,,,,,,,,,Cannot see stop ID,"3, 89, 400 ",Kensington and Glenwood,"Yes, there is a marked stopping area that is free from obstructions",,No,No,The stop is connected to/integrated into the sidewalk.,"There are cracks or bumps in the sidewalk that would make it difficult to traverse smoothly for wheelchair users, strollers, etc.",Yes,No,No,No,No,,No,,,Yes,Can't see,"The stop is not clearly marked (the sign is difficult to find, obscured, or nonexistent)",,"Better lighting, sitting area, trash can, shelter, fix sticker",ID number is obscured by sticker. Belligerent man in security uniform parked in the hus loading area.
6/6/2026 8:50:38,A bus or above ground trolley stop,,,,,,,,,CCT #70 // sign Missing (opposite side of Tioga Kensington),"3, 89, 400","K, Tioga, Kensington",The stopping area is obstructed,https://drive.google.com/open?id=12SS8dJa7U2kTGhzFnV30FRHjHS7dPjHE,No,No,The stop is connected to/integrated into the sidewalk.,"Yes, the sidewalk is flat and even.",Yes,No,No,No,No,,No,,,Yes,na,"The stop is not clearly marked (the sign is difficult to find, obscured, or nonexistent)",https://drive.google.com/open?id=1WuwpCfxB4_7xU-A4xMnmDo60-3MEUF4C,Signage.,Missing sign. Neighboring business has lights and camera directly pointed at stop.
6/6/2026 8:55:06,"A station (B, D, L, M, Regional Rail station or below ground trolley stop)",Market Frankford Line (L),Erie-Torresdale,Yes,Yes,"Broken window (street level elevator) low/flickering lighting, smell wasn’t awful but grime was caked into the walls",Yes,No,"Elevator a more pleasant experience, couldn’t find an audio option at platform level or a way to access arrival times from street level ",,,,,,,,,,,,,,,,,,,,,,,,
6/6/2026 8:55:08,A bus or above ground trolley stop,,,,,,,,,26262,3,Cedric and Kensington,"Yes, there is a marked stopping area that is free from obstructions",,No,No,The stop is connected to/integrated into the sidewalk.,"There are cracks or bumps in the sidewalk that would make it difficult to traverse smoothly for wheelchair users, strollers, etc.",Yes,No,No,No,No,,No,,,No,Na,"The stop is clearly marked, but the sign is faded or damaged",,"Needs way more shelter, completely exposed. Bench and trash would be good too",
6/6/2026 8:56:52,A bus or above ground trolley stop,,,,,,,,,827,56,Kensington and Torresdale,"Yes, there is a marked stopping area that is free from obstructions",,No,No,The stop is connected to/integrated into the sidewalk.,"There are cracks or bumps in the sidewalk that would make it difficult to traverse smoothly for wheelchair users, strollers, etc.",No,Yes,Yes,Yes,No,,No,,,Yes,F28C3C,The stop is clearly marked and the sign is easy to read,,"More areas for wheelchair users to sit. More space from curb to shelter and a curb cut. Back rest on the benches under the shelter. The ceiling is currently glass, so an opaque ceiling to provide shade.",
